1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
typeName,id,GoA,baseTrackCost,baseStationCost,scissorsCrossoverCost,DEEP,STD,CUT,AG,EL,Electrification,Voltage,Track Gauge,Loading Gauge,parallelTrackSpacing,trackClearance,Check,Usage
DC 600V (GoA1 | TRA | MS),std_cdc-1_tra_ms,GoA1,50000,63750000,15000000,4.11,1.83,0.91,0.30,0.77,tr-above,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 1.5kV (GoA0 | CAT | MS),std_hv-0_cat_ms,GoA0,31875,45000000,8287500,3.50,1.55,0.78,0.30,0.77,catenary,High Voltage DC,Standard,Metro Standard,2.12,1.01,FALSE,
AC 25-Grid (GoA0 | CAT | MS),std_iac-0_cat_ms,GoA0,31875,45000000,8287500,3.50,1.55,0.78,0.30,0.77,catenary,International AC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA1 | CAT | MS),std_cdc-1_cat_ms,GoA1,42500,63750000,12750000,3.50,1.55,0.78,0.30,0.77,catenary,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 750V (GoA1 | CAT | MS),std_mdc-1_cat_ms,GoA1,42500,63750000,12750000,3.50,1.55,0.78,0.30,0.77,catenary,Modern DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 1.5kV (GoA1 | CAT | MS),std_hv-1_cat_ms,GoA1,42500,63750000,12750000,3.50,1.55,0.78,0.30,0.77,catenary,High Voltage DC,Standard,Metro Standard,2.12,1.01,FALSE,
AC 25-Grid (GoA1 | CAT | MS),std_iac-1_cat_ms,GoA1,42500,63750000,12750000,3.50,1.55,0.78,0.30,0.77,catenary,International AC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA1 | TRU | DC),std_cdc-1_tru_dc,GoA1,49500,63750000,15000000,4.76,2.12,1.06,0.30,0.83,tr-under,Classical DC,Standard,DC Metro,2.57,1.23,FALSE,
Diesel (GoA1 | NON | AAR),std_non-1_non_aar,GoA1,37500,63750000,7500000,3.55,1.58,0.79,0.30,0.82,none,None,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
Diesel (GoA0 | NON | AAR),std_non-0_non_aar,GoA0,28125,45000000,4875000,3.55,1.58,0.79,0.30,0.82,none,None,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 750V (GoA2 | TRA | DC),std_mdc-2_tra_dc,GoA2,50000,75000000,15000000,4.81,2.14,1.07,0.30,0.83,tr-above,Modern DC,Standard,DC Metro,2.57,1.23,FALSE,
DC 750V (GoA1 | TRA | DC),std_mdc-1_tra_dc,GoA1,50000,63750000,15000000,4.81,2.14,1.07,0.30,0.83,tr-above,Modern DC,Standard,DC Metro,2.57,1.23,FALSE,
DC 750V (GoA4 | TRA | DC),std_mdc-4_tra_dc,GoA4,57500,82500000,18750000,4.81,2.14,1.07,0.30,0.83,tr-above,Modern DC,Standard,DC Metro,2.57,1.23,FALSE,
DC 750V (GoA1 | CAT | TFF),std_mdc-1_cat_tff,GoA1,42500,63750000,12750000,3.23,1.44,0.72,0.30,0.74,catenary,Modern DC,Standard,2.45 m,1.92,0.91,FALSE,
DC 750V (GoA0 | CAT | TFF),std_mdc-0_cat_tff,GoA0,31875,45000000,8287500,3.23,1.44,0.72,0.30,0.74,catenary,Modern DC,Standard,2.45 m,1.92,0.91,FALSE,
AC 25-Grid (GoA1 | CAT | AAR),std_iac-1_cat_aar,GoA1,42500,63750000,12750000,4.02,1.79,0.89,0.30,0.82,catenary,International AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
AC 25-Grid (GoA0 | CAT | AAR),std_iac-0_cat_aar,GoA0,31875,45000000,8287500,4.02,1.79,0.89,0.30,0.82,catenary,International AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
AC 12-25 (GoA1 | CAT | AAR),std_pac-1_cat_aar,GoA1,42500,63750000,12750000,4.02,1.79,0.89,0.30,0.82,catenary,Pennsylvania AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
AC 12-25 (GoA0 | CAT | AAR),std_pac-0_cat_aar,GoA0,31875,45000000,8287500,4.02,1.79,0.89,0.30,0.82,catenary,Pennsylvania AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
AC 12.5-60 (GoA1 | CAT | AAR),std_nhac-1_cat_aar,GoA1,42500,63750000,12750000,4.02,1.79,0.89,0.30,0.82,catenary,New Haven Line AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
AC 12.5-60 (GoA0 | CAT | AAR),std_nhac-0_cat_aar,GoA0,31875,45000000,8287500,4.02,1.79,0.89,0.30,0.82,catenary,New Haven Line AC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 600V (GoA1 | TRA | RER),std_cdc-1_tra_rer,GoA1,50000,63750000,15000000,4.42,1.97,0.98,0.30,0.79,tr-above,Classical DC,Standard,RER Narrow,2.32,1.11,FALSE,
DC 1.5kV (GoA1 | CAT | AAR),std_hv-1_cat_aar,GoA1,42500,63750000,12750000,4.02,1.79,0.89,0.30,0.82,catenary,High Voltage DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 1.5kV (GoA0 | CAT | AAR),std_hv-0_cat_aar,GoA0,31875,45000000,8287500,4.02,1.79,0.89,0.30,0.82,catenary,High Voltage DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 600V (GoA4 | FR | MS),std_cdc-4_fr_ms,GoA4,66125,82500000,20625000,4.73,2.10,1.05,0.30,0.77,four-rail,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA3 | FR | MS),std_cdc-3_fr_ms,GoA3,63250,75000000,19800000,4.73,2.10,1.05,0.30,0.77,four-rail,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA2 | FR | MS),std_cdc-2_fr_ms,GoA2,57500,75000000,16500000,4.73,2.10,1.05,0.30,0.77,four-rail,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA1 | FR | MS),std_cdc-1_fr_ms,GoA1,57500,63750000,16500000,4.73,2.10,1.05,0.30,0.77,four-rail,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA1 | FR | LSS),std_cdc-1_fr_lss,GoA1,57500,63750000,16500000,5.18,2.30,1.15,0.30,0.80,four-rail,Classical DC,Standard,London S Stock,2.37,1.13,FALSE,
DC 600V (GoA2 | FR | LSS),std_cdc-2_fr_lss,GoA2,57500,75000000,16500000,5.18,2.30,1.15,0.30,0.80,four-rail,Classical DC,Standard,London S Stock,2.37,1.13,FALSE,
AC 25-Grid (GoA1 | CAT | MW),std_iac-1_cat_mw,GoA1,42500,63750000,12750000,3.70,1.64,0.82,0.30,0.79,catenary,International AC,Standard,Metro Wide,2.27,1.08,FALSE,
AC 25-Grid (GoA0 | CAT | MW),std_iac-0_cat_mw,GoA0,31875,45000000,8287500,3.70,1.64,0.82,0.30,0.79,catenary,International AC,Standard,Metro Wide,2.27,1.08,FALSE,
DC 600V (GoA1 | TRA | MW),std_cdc-1_tra_mw,GoA1,50000,63750000,15000000,4.35,1.93,0.97,0.30,0.79,tr-above,Classical DC,Standard,Metro Wide,2.27,1.08,FALSE,
DC 600V (GoA0 | TRA | MW),std_cdc-0_tra_mw,GoA0,37500,45000000,9750000,4.35,1.93,0.97,0.30,0.79,tr-above,Classical DC,Standard,Metro Wide,2.27,1.08,FALSE,
DC 750V (GoA2 | CAT | MW),std_mdc-2_cat_mw,GoA2,42500,75000000,12750000,3.70,1.64,0.82,0.30,0.79,catenary,Modern DC,Standard,Metro Wide,2.27,1.08,FALSE,
Rubber DC 750V (GoA2 | FR | NAR),rub_mdc-2_fr_nar,GoA2,28750,75000000,16500000,4.55,2.02,1.01,0.30,0.75,four-rail,Modern DC,Rubber,Narrow,2.02,0.96,FALSE,
DC 750V (GoA1 | CAT | MW),std_mdc-1_cat_mw,GoA1,42500,63750000,12750000,3.70,1.64,0.82,0.30,0.79,catenary,Modern DC,Standard,Metro Wide,2.27,1.08,FALSE,
Rubber DC 750V (GoA1 | FR | NAR),rub_mdc-1_fr_nar,GoA1,28750,63750000,16500000,4.55,2.02,1.01,0.30,0.75,four-rail,Modern DC,Rubber,Narrow,2.02,0.96,FALSE,
Toronto DC 600V (GoA2 | TRU | UIC),tor_cdc-2_tru_uic,GoA2,54450,75000000,15000000,4.84,2.15,1.08,0.30,0.83,tr-under,Classical DC,Toronto,UIC / ERA Standard,2.62,1.26,FALSE,
Toronto DC 600V (GoA1 | TRU | UIC),tor_cdc-1_tru_uic,GoA1,54450,63750000,15000000,4.84,2.15,1.08,0.30,0.83,tr-under,Classical DC,Toronto,UIC / ERA Standard,2.62,1.26,FALSE,
DC 1.5kV (GoA4 | CAT | AAR),std_hv-4_cat_aar,GoA4,48875,82500000,15937500,4.02,1.79,0.89,0.30,0.82,catenary,High Voltage DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
Toronto DC 600V (GoA1 | CAT | NAR),tor_cdc-1_cat_nar,GoA1,46750,63750000,12750000,3.36,1.49,0.75,0.30,0.75,catenary,Classical DC,Toronto,Narrow,2.02,0.96,FALSE,
DC 1.5kV (GoA4 | CAT | REM),std_hv-4_cat_rem,GoA4,48875,82500000,15937500,3.89,1.73,0.86,0.30,0.81,catenary,High Voltage DC,Standard,REM,2.42,1.16,FALSE,
Diesel (GoA1 | NON | MW),std_non-1_non_mw,GoA1,37500,63750000,7500000,3.26,1.45,0.73,0.30,0.79,none,None,Standard,Metro Wide,2.27,1.08,FALSE,
DC 750V (GoA2 | TRA | LIRR),std_mdc-2_tra_lirr,GoA2,50000,75000000,15000000,5.04,2.24,1.12,0.30,0.85,tr-above,Modern DC,Standard,LIRR / Metro North,2.72,1.31,FALSE,
DC 600V (GoA4 | TRS | MS),std_cdc-4_trs_ms,GoA4,58075,82500000,18937500,4.15,1.85,0.92,0.30,0.77,tr-side,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 750V (GoA4 | TRA | AAR),std_mdc-4_tra_aar,GoA4,57500,82500000,18750000,4.73,2.10,1.05,0.30,0.82,tr-above,Modern DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 750V (GoA2 | TRA | AAR),std_mdc-2_tra_aar,GoA2,50000,75000000,15000000,4.73,2.10,1.05,0.30,0.82,tr-above,Modern DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 750V (GoA1 | TRA | AAR),std_mdc-1_tra_aar,GoA1,50000,63750000,15000000,4.73,2.10,1.05,0.30,0.82,tr-above,Modern DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 750V (GoA2 | CAT | MS),std_mdc-2_cat_ms,GoA2,42500,75000000,12750000,3.50,1.55,0.78,0.30,0.77,catenary,Modern DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 750V (GoA1 | TRU | LIRR),std_mdc-1_tru_lirr,GoA1,49500,63750000,15000000,4.99,2.22,1.11,0.30,0.85,tr-under,Modern DC,Standard,LIRR / Metro North,2.72,1.31,FALSE,
DC 750V (GoA0 | TRU | LIRR),std_mdc-0_tru_lirr,GoA0,37125,45000000,9750000,4.99,2.22,1.11,0.30,0.85,tr-under,Modern DC,Standard,LIRR / Metro North,2.72,1.31,FALSE,
AC 25-Grid (GoA1 | CAT | LIRR),std_iac-1_cat_lirr,GoA1,42500,63750000,12750000,4.29,1.91,0.95,0.30,0.85,catenary,International AC,Standard,LIRR / Metro North,2.72,1.31,FALSE,
AC 25-Grid (GoA0 | CAT | LIRR),std_iac-0_cat_lirr,GoA0,31875,45000000,8287500,4.29,1.91,0.95,0.30,0.85,catenary,International AC,Standard,LIRR / Metro North,2.72,1.31,FALSE,
AC 25-Grid (GoA2 | CAT | MW),std_iac-2_cat_mw,GoA2,42500,75000000,12750000,3.70,1.64,0.82,0.30,0.79,catenary,International AC,Standard,Metro Wide,2.27,1.08,FALSE,
Diesel (GoA0 | NON | MW),std_non-0_non_mw,GoA0,28125,45000000,4875000,3.26,1.45,0.73,0.30,0.79,none,None,Standard,Metro Wide,2.27,1.08,FALSE,
DC 750V (GoA3 | TRU | MS),std_mdc-3_tru_ms,GoA3,54450,75000000,18000000,4.07,1.81,0.90,0.30,0.77,tr-under,Modern DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA1 | TRU | AAR),std_cdc-1_tru_aar,GoA1,49500,63750000,15000000,4.68,2.08,1.04,0.30,0.82,tr-under,Classical DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 600V (GoA1 | TRU | MW),std_cdc-1_tru_mw,GoA1,49500,63750000,15000000,4.31,1.91,0.96,0.30,0.79,tr-under,Classical DC,Standard,Metro Wide,2.27,1.08,FALSE,
DC 600V (GoA1 | TRUCAT | MW),std_cdc-1_trucat_mw,GoA1,62500,63750000,15750000,5.44,2.42,1.21,0.30,0.79,tr-under+catenary,Classical DC,Standard,Metro Wide,2.27,1.08,FALSE,
San_Francisco DC 1.0kV (GoA2 | TRA | LIRR),sf_bart-2_tra_lirr,GoA2,55000,75000000,15000000,5.04,2.24,1.12,0.30,0.85,tr-above,BART DC,San_Francisco,LIRR / Metro North,2.72,1.31,FALSE,
San_Francisco DC 1.0kV (GoA1 | TRA | LIRR),sf_bart-1_tra_lirr,GoA1,55000,63750000,15000000,5.04,2.24,1.12,0.30,0.85,tr-above,BART DC,San_Francisco,LIRR / Metro North,2.72,1.31,FALSE,
DC 750V (GoA1 | TRU | UIC),std_mdc-1_tru_uic,GoA1,49500,63750000,15000000,4.84,2.15,1.08,0.30,0.83,tr-under,Modern DC,Standard,UIC / ERA Standard,2.62,1.26,FALSE,
DC 750V (GoA0 | TRU | UIC),std_mdc-0_tru_uic,GoA0,37125,45000000,9750000,4.84,2.15,1.08,0.30,0.83,tr-under,Modern DC,Standard,UIC / ERA Standard,2.62,1.26,FALSE,
DC 750V (GoA1 | TRA | BER),std_mdc-1_tra_ber,GoA1,50000,63750000,15000000,3.57,1.59,0.79,0.30,0.72,tr-above,Modern DC,Standard,Berlin 2.3m,1.77,0.83,FALSE,
DC 750V (GoA1 | TRA | UN),std_mdc-1_tra_un,GoA1,50000,63750000,15000000,3.72,1.66,0.83,0.30,0.73,tr-above,Modern DC,Standard,Ultra-Narrow,1.87,0.88,FALSE,
DC 750V (GoA1 | TRU | MS),std_mdc-1_tru_ms,GoA1,49500,63750000,15000000,4.07,1.81,0.90,0.30,0.77,tr-under,Modern DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 750V (GoA1 | CAT | UN),std_mdc-1_cat_un,GoA1,42500,63750000,12750000,3.17,1.41,0.70,0.30,0.73,catenary,Modern DC,Standard,Ultra-Narrow,1.87,0.88,FALSE,
DC 750V (GoA0 | CAT | UN),std_mdc-0_cat_un,GoA0,31875,45000000,8287500,3.17,1.41,0.70,0.30,0.73,catenary,Modern DC,Standard,Ultra-Narrow,1.87,0.88,FALSE,
DC 600V (GoA1 | CAT | UN),std_cdc-1_cat_un,GoA1,42500,63750000,12750000,3.17,1.41,0.70,0.30,0.73,catenary,Classical DC,Standard,Ultra-Narrow,1.87,0.88,FALSE,
DC 600V (GoA0 | CAT | UN),std_cdc-0_cat_un,GoA0,31875,45000000,8287500,3.17,1.41,0.70,0.30,0.73,catenary,Classical DC,Standard,Ultra-Narrow,1.87,0.88,FALSE,
DC 750V (GoA4 | TRU | MS),std_mdc-4_tru_ms,GoA4,56925,82500000,18750000,4.07,1.81,0.90,0.30,0.77,tr-under,Modern DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 750V (GoA4 | TRU | AAR),std_mdc-4_tru_aar,GoA4,56925,82500000,18750000,4.68,2.08,1.04,0.30,0.82,tr-under,Modern DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 1.5kV (GoA4 | CAT | RER),std_hv-4_cat_rer,GoA4,48875,82500000,15937500,3.76,1.67,0.84,0.30,0.79,catenary,High Voltage DC,Standard,RER Narrow,2.32,1.11,FALSE,
DC 1.5kV (GoA4 | CAT | BM),std_hv-4_cat_bm,GoA4,48875,82500000,15937500,3.63,1.61,0.81,0.30,0.78,catenary,High Voltage DC,Standard,Barcelona Metro,2.22,1.06,FALSE,
DC 1.5kV (GoA4 | TRU | MS),std_hv-4_tru_ms,GoA4,56925,82500000,18750000,4.07,1.81,0.90,0.30,0.77,tr-under,High Voltage DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 1.5kV (GoA4 | TRU | RER),std_hv-4_tru_rer,GoA4,56925,82500000,18750000,4.38,1.95,0.97,0.30,0.79,tr-under,High Voltage DC,Standard,RER Narrow,2.32,1.11,FALSE,
DC 1.5kV (GoA4 | TRU | BM),std_hv-4_tru_bm,GoA4,56925,82500000,18750000,4.22,1.88,0.94,0.30,0.78,tr-under,High Voltage DC,Standard,Barcelona Metro,2.22,1.06,FALSE,
DC 750V (GoA4 | CAT | RER),std_mdc-4_cat_rer,GoA4,48875,82500000,15937500,3.76,1.67,0.84,0.30,0.79,catenary,Modern DC,Standard,RER Narrow,2.32,1.11,FALSE,
DC 1.5kV (GoA2 | CAT | CPH),std_hv-2_cat_cph,GoA2,42500,75000000,12750000,4.62,2.05,1.03,0.30,0.88,catenary,High Voltage DC,Standard,Copenhagen S-Tog,2.97,1.43,FALSE,
DC 1.5kV (GoA4 | CAT | CPH),std_hv-4_cat_cph,GoA4,48875,82500000,15937500,4.62,2.05,1.03,0.30,0.88,catenary,High Voltage DC,Standard,Copenhagen S-Tog,2.97,1.43,FALSE,
DC 1.5kV (GoA1 | CAT | CPH),std_hv-1_cat_cph,GoA1,42500,63750000,12750000,4.62,2.05,1.03,0.30,0.88,catenary,High Voltage DC,Standard,Copenhagen S-Tog,2.97,1.43,FALSE,
DC 750V (GoA2 | TRA | UN),std_mdc-2_tra_un,GoA2,50000,75000000,15000000,3.72,1.66,0.83,0.30,0.73,tr-above,Modern DC,Standard,Ultra-Narrow,1.87,0.88,FALSE,
DC 1.5kV (GoA4 | TRU | NAR),std_hv-4_tru_nar,GoA4,56925,82500000,18750000,3.92,1.74,0.87,0.30,0.75,tr-under,High Voltage DC,Standard,Narrow,2.02,0.96,FALSE,
DC 750V (GoA4 | TRA | UN),std_mdc-4_tra_un,GoA4,57500,82500000,18750000,3.72,1.66,0.83,0.30,0.73,tr-above,Modern DC,Standard,Ultra-Narrow,1.87,0.88,FALSE,
Rubber DC 750V (GoA4 | FR | TFF),rub_mdc-4_fr_tff,GoA4,33063,82500000,20625000,4.37,1.94,0.97,0.30,0.74,four-rail,Modern DC,Rubber,2.45 m,1.92,0.91,FALSE,
Rubber DC 750V (GoA2 | FR | TFF),rub_mdc-2_fr_tff,GoA2,28750,75000000,16500000,4.37,1.94,0.97,0.30,0.74,four-rail,Modern DC,Rubber,2.45 m,1.92,0.91,FALSE,
Rubber DC 750V (GoA1 | FR | TFF),rub_mdc-1_fr_tff,GoA1,28750,63750000,16500000,4.37,1.94,0.97,0.30,0.74,four-rail,Modern DC,Rubber,2.45 m,1.92,0.91,FALSE,
DC 1.5kV (GoA4 | CAT | MW),std_hv-4_cat_mw,GoA4,48875,82500000,15937500,3.70,1.64,0.82,0.30,0.79,catenary,High Voltage DC,Standard,Metro Wide,2.27,1.08,FALSE,
DC 1.5kV (GoA0 | CAT | RER),std_hv-0_cat_rer,GoA0,31875,45000000,8287500,3.76,1.67,0.84,0.30,0.79,catenary,High Voltage DC,Standard,RER Narrow,2.32,1.11,FALSE,
AC 25-Grid (GoA0 | CAT | RER),std_iac-0_cat_rer,GoA0,31875,45000000,8287500,3.76,1.67,0.84,0.30,0.79,catenary,International AC,Standard,RER Narrow,2.32,1.11,FALSE,
DC 1.5kV (GoA1 | CAT | RER),std_hv-1_cat_rer,GoA1,42500,63750000,12750000,3.76,1.67,0.84,0.30,0.79,catenary,High Voltage DC,Standard,RER Narrow,2.32,1.11,FALSE,
AC 25-Grid (GoA1 | CAT | RER),std_iac-1_cat_rer,GoA1,42500,63750000,12750000,3.76,1.67,0.84,0.30,0.79,catenary,International AC,Standard,RER Narrow,2.32,1.11,FALSE,
DC 1.2kV (GoA2 | CAT | BM),std_sv-2_cat_bm,GoA2,42500,75000000,12750000,3.63,1.61,0.81,0.30,0.78,catenary,Spanish Voltage,Standard,Barcelona Metro,2.22,1.06,FALSE,
DC 1.2kV (GoA1 | CAT | BM),std_sv-1_cat_bm,GoA1,42500,63750000,12750000,3.63,1.61,0.81,0.30,0.78,catenary,Spanish Voltage,Standard,Barcelona Metro,2.22,1.06,FALSE,
Iberian DC 1.5kV (GoA2 | CAT | DC),ib_hv-2_cat_dc,GoA2,46750,75000000,12750000,4.09,1.82,0.91,0.30,0.83,catenary,High Voltage DC,Iberian,DC Metro,2.57,1.23,FALSE,
Iberian DC 1.5kV (GoA1 | CAT | DC),ib_hv-1_cat_dc,GoA1,46750,63750000,12750000,4.09,1.82,0.91,0.30,0.83,catenary,High Voltage DC,Iberian,DC Metro,2.57,1.23,FALSE,
DC 1.5kV (GoA2 | CAT | BM),std_hv-2_cat_bm,GoA2,42500,75000000,12750000,3.63,1.61,0.81,0.30,0.78,catenary,High Voltage DC,Standard,Barcelona Metro,2.22,1.06,FALSE,
DC 1.5kV (GoA1 | CAT | BM),std_hv-1_cat_bm,GoA1,42500,63750000,12750000,3.63,1.61,0.81,0.30,0.78,catenary,High Voltage DC,Standard,Barcelona Metro,2.22,1.06,FALSE,
Iberian DC 3kV (GoA1 | CAT | UIC),ib_uhv-1_cat_uic,GoA1,46750,63750000,12750000,4.15,1.85,0.92,0.30,0.83,catenary,Soviet UHV DC,Iberian,UIC / ERA Standard,2.62,1.26,FALSE,
Iberian DC 3kV (GoA0 | CAT | UIC),ib_uhv-0_cat_uic,GoA0,35063,45000000,8287500,4.15,1.85,0.92,0.30,0.83,catenary,Soviet UHV DC,Iberian,UIC / ERA Standard,2.62,1.26,FALSE,
DC 1.5kV (GoA2 | CAT | RER),std_hv-2_cat_rer,GoA2,42500,75000000,12750000,3.76,1.67,0.84,0.30,0.79,catenary,High Voltage DC,Standard,RER Narrow,2.32,1.11,FALSE,
Soviet DC 825V (GoA1 | CAT | MS),sov_ukr-1_cat_ms,GoA1,46750,63750000,12750000,3.50,1.55,0.78,0.30,0.77,catenary,Ukranian Voltage,Soviet,Metro Standard,2.12,1.01,FALSE,
Soviet DC 750V (GoA1 | CAT | NAR),sov_mdc-1_cat_nar,GoA1,46750,63750000,12750000,3.36,1.49,0.75,0.30,0.75,catenary,Modern DC,Soviet,Narrow,2.02,0.96,FALSE,
DC 750V (GoA1 | CAT | NAR),std_mdc-1_cat_nar,GoA1,42500,63750000,12750000,3.36,1.49,0.75,0.30,0.75,catenary,Modern DC,Standard,Narrow,2.02,0.96,FALSE,
3.5_foot DC 750V (GoA1 | CAT | NAR),35f_mdc-1_cat_nar,GoA1,46750,63750000,12750000,3.36,1.49,0.75,0.30,0.75,catenary,Modern DC,3.5_foot,Narrow,2.02,0.96,FALSE,
Soviet DC 600V (GoA1 | CAT | NAR),sov_cdc-1_cat_nar,GoA1,46750,63750000,12750000,3.36,1.49,0.75,0.30,0.75,catenary,Classical DC,Soviet,Narrow,2.02,0.96,FALSE,
DC 600V (GoA1 | CAT | NAR),std_cdc-1_cat_nar,GoA1,42500,63750000,12750000,3.36,1.49,0.75,0.30,0.75,catenary,Classical DC,Standard,Narrow,2.02,0.96,FALSE,
3.5_foot DC 600V (GoA1 | CAT | NAR),35f_cdc-1_cat_nar,GoA1,46750,63750000,12750000,3.36,1.49,0.75,0.30,0.75,catenary,Classical DC,3.5_foot,Narrow,2.02,0.96,FALSE,
Soviet DC 750V (GoA0 | CAT | NAR),sov_mdc-0_cat_nar,GoA0,35063,45000000,8287500,3.36,1.49,0.75,0.30,0.75,catenary,Modern DC,Soviet,Narrow,2.02,0.96,FALSE,
DC 750V (GoA0 | CAT | NAR),std_mdc-0_cat_nar,GoA0,31875,45000000,8287500,3.36,1.49,0.75,0.30,0.75,catenary,Modern DC,Standard,Narrow,2.02,0.96,FALSE,
3.5_foot DC 750V (GoA0 | CAT | NAR),35f_mdc-0_cat_nar,GoA0,35063,45000000,8287500,3.36,1.49,0.75,0.30,0.75,catenary,Modern DC,3.5_foot,Narrow,2.02,0.96,FALSE,
Soviet DC 600V (GoA0 | CAT | NAR),sov_cdc-0_cat_nar,GoA0,35063,45000000,8287500,3.36,1.49,0.75,0.30,0.75,catenary,Classical DC,Soviet,Narrow,2.02,0.96,FALSE,
DC 600V (GoA0 | CAT | NAR),std_cdc-0_cat_nar,GoA0,31875,45000000,8287500,3.36,1.49,0.75,0.30,0.75,catenary,Classical DC,Standard,Narrow,2.02,0.96,FALSE,
3.5_foot DC 600V (GoA0 | CAT | NAR),35f_cdc-0_cat_nar,GoA0,35063,45000000,8287500,3.36,1.49,0.75,0.30,0.75,catenary,Classical DC,3.5_foot,Narrow,2.02,0.96,FALSE,
