Ready?,name,Train Type,track-types,desc,maxSpeed (m/s),maxAcceleration,maxDeceleration,capacityPerCar,minCars,maxCars,carsPerCarSet,carLength,trainWidth,maxStationLength,carCost,baseTrackCost,baseStationCost,scissorsCrossoverCost,canCrossRoads,maxSpeedLocalStation,Old?,trainOperationalCostPerHour,carOperationalCostPerHour,color,Multipliers,Min Capacity,Max Capacity,Manufacturer,Train Category,Cities,Nation,Cont,Generic?,Cities2,Nation2
TRUE,S700,Standard LRT,"600V LRT (CAT|MS), 750V LRT (CAT|MS), 1.5kV LRT (CAT|MS)",The S700 series are articulated low-floor light-rail vehicles built by Siemens that have been in service across North America since 2004. This specific model is based on those recieved in 2020 by Metro Transit in Minnesota.,24.4,1.34,1.34,58,6,12,3,9.58,2.65,120,1456790,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#008244,6.75|3.00|1.50|0.30|0.80,348,696,Siemens,LRT,"Generic, SEA, POR, SLC, HOU, MSP, PHX","Generic, US, US, US, US, US, US","Generic, North America, North America, North America, North America, North America, North America",TRUE,"Generic, Seattle, Portland (OR), Salt Lake City, Houston, Twin Cities (MN), Phoenix","Generic, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America"
TRUE,S700-US,Standard LRT,"600V LRT (CAT|MS), 750V LRT (CAT|MS), 1.5kV LRT (CAT|MS)",The S700 series are articulated low-floor light-rail vehicles built by Siemens that have been in service across North America since 2004. This specific model is based on the ultra-short model used in San Diego.,24.6,1.34,1.34,48,6,12,3,8.27,2.65,110,1333333,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#EE2621,6.75|3.00|1.50|0.30|0.80,288,576,Siemens,LRT,SD,US,North America,FALSE,San Diego,United States of America
TRUE,SEPTA BIV,Standard Metro,600V Metro (TRU|AAR),The Kawasaki BIV Subway Car is an EMU used on the B line of the Philadelphia Subway. Many of these stats are estimates due to lack of data.,24.6,1.34,1.34,150,2,5,1,20.574,3.086,110,1500000,62000,93000000,18750000,FALSE,13,TRUE,700,70,#F26100,5.63|2.50|1.25|0.30|0.90,300,750,Kawasaki,Metro,PHI,US,North America,FALSE,Philadelphia,United States of America
FALSE,SEPTA LRV 9000,,SEPTA: Trolley T and D,The Kawasaki LRV Series 9000 is a trolley built by Kawaski that has been in service in Philadelphia since 1980.,22.4,1.34,1.56,77,1,1,1,15.00,2.60,20,2500000,#N/A,,,,,FALSE,,,#5A960A,,77,77,,,Generic,Generic,Generic,FALSE,Generic,Generic
FALSE,SEPTA LRV 100,,SEPTA: Trolley T and D,The Kawasaki LRV Series 100 is a trolley built by Kawaski that has been in service in Philadelphia since 1980.,26.8,1.34,1.56,67,1,1,1,16.00,2.69,20,2500000,#N/A,,,,,FALSE,,,#E5427B,,67,67,,,Generic,Generic,Generic,FALSE,Generic,Generic
FALSE,SEPTA PCC III,,SEPTA: Trolley K,"The PCC III is a derivation of the Presidents' Conference Committee Streetcar built by the St. Louis Car Company starting in 1936. SEPTA recieved theirs in 1947, and they've been refurbrished twice, first by Brookville Equipment and then in-house. They have been in service since 1948 in Philly, with the last refurbrishing being from 2020-2024.",17.9,1.60,1.60,103,1,1,1,14.20,2.44,20,2500000,#N/A,,,,,FALSE,,,#FCD602,,103,103,,,Generic,Generic,Generic,FALSE,Generic,Generic
TRUE,GTW 2/6 (NJT),Diesel LRT,"Diesel Light Rail (AAR), U.S. Commuter Diesel",This is a variant of the Stadler GTW 2/6 which is one of the rare and bizarre Diesel Light Rail Vehicles and is exclusively in service on NJT's River Line. Details are scarce so the acceleration and braking are guesstimates.,30.6,0.80,1.30,100,2,6,2,15.60,3.00,100,3000000,37500,56250000,11250000,TRUE,6.7,FALSE,300,30,#1E2171,8.44|3.75|1.88|0.30|0.90,200,600,Stadler,LRT,PHI,US,North America,FALSE,Philadelphia,United States of America
TRUE,7000 Series (WSH),Standard Metro,DC Metro,The 7000-series is a subway EMU built by Kawasaki for Washington DC's Subway that entered service in 2015.,33.6,1.25,0.98,175,4,8,2,22.86,3.09,200,2290000,62500,93750000,18750000,FALSE,13,FALSE,500,50,#231F20,5.63|2.50|1.25|0.30|0.90,700,1400,Kawasaki,Metro,DC,US,North America,FALSE,Washington D.C.,United States of America
TRUE,US-100 (WSH),Standard LRT,750V LRT (CAT|UN),The United Streetcar 100 is a articulated low-floor streetcar built via licensing the Škoda 10T. It has been in service with the 750V LRV (CAT|UN) since 2016. Capacity is artificially higher due to game processing requirements.,17.9,1.34,1.34,67,3,3,3,6.67,2.46,25,1450000,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#EF2E31,5.06|2.25|1.13|0.30|0.70,201,201,Škoda,LRT,"DC, POR","US, US","North America, North America",FALSE,"Washington D.C., Portland (OR)","United States of America, United States of America"
TRUE,HHP8-BMLC,Standard Commuter,"NEC 12-25, 25-GF Main Line (CAT|AAR), NEC 12.5-60","The Bombardier/Alstom HHP-8 is an electric locomotive that first entered service in 2002. This specific trainset carries passengers with Bombardier MultiLevel Coach (aka Adessia Coach) cars, as used by MARC.",55.9,0.79,1.30,150,3,10,1,25.91,3.05,300,5550000,50000,75000000,15000000,TRUE,15,FALSE,600,60,#004F98,8.44|3.75|1.88|0.30|0.90,450,1500,Bombardier,Commuter,"DC, BWI","US, US","North America, North America",FALSE,"Washington D.C., Baltimore","United States of America, United States of America"
TRUE,SC-BMLC,Diesel Commuter,"U.S. Commuter Diesel, NEC 12-25, NEC 12.5-60, 25-GF Main Line (CAT|AAR)","The Siemens Charger is a family of diesel locomotives that first entered service in 2017. This specific trainset carries passengers with Bombardier MultiLevel Coach (aka Adessia Coach) cars, as used by MARC.",55.9,0.69,1.30,150,3,10,1,25.91,3.05,300,5550000,37500,56250000,11250000,TRUE,15,FALSE,800,80,#F26F21,8.44|3.75|1.88|0.30|0.90,450,1500,Siemens,Commuter,"Generic, NYC, DC, MTL, SD, BWI","Generic, US, US, CA, US, US","Generic, North America, North America, North America, North America, North America",TRUE,"Generic, New York City, Washington D.C., Montreal, San Diego, Baltimore","Generic, United States of America, United States of America, Canada, United States of America, United States of America"
TRUE,CTA 5000 Series,Standard Metro,600V Metro (TRA|MS),The 5000 series is a subway EMU built by Bombardier for the 600V Metro (TRA|MS) that entered service in 2011.,24.6,1.25,1.25,123,4,8,2,14.63,2.84,130,1232022,62500,93750000,18750000,FALSE,13,FALSE,500,50,#009DDC,4.50|2.00|1.00|0.30|0.80,492,984,Bombardier,Metro,CHI,US,North America,FALSE,Chicago,United States of America
TRUE,CTA 3200 Series,Standard Metro,600V Metro (TRA|MS),The 3200 series is a subway EMU built by Morrison-Knudsen and Mafersa for the 600V Metro (TRA|MS) that entered service in 2011.,24.6,1.43,1.43,108,4,8,2,14.63,2.84,130,1000000,62500,93750000,18750000,FALSE,13,FALSE,500,50,#F06EA9,4.50|2.00|1.00|0.30|0.80,432,864,"Morrison-Knudsen, Mafersa",Metro,CHI,US,North America,FALSE,Chicago,United States of America
TRUE,Highliner 2,Standard Metro,"1.5kV Main Line (CAT|AAR), U.S. Commuter Diesel",The Highliner II is a bi-level commuter rail EMU built by Nippon Sharyo for Chicago's Metra that entered service in 2005.,35.3,0.61,0.67,130,2,8,2,25.91,3.00,220,3656250,50000,75000000,15000000,TRUE,13,FALSE,500,50,#0054A4,8.44|3.75|1.88|0.30|0.90,260,1040,Nippon Sharyo,Metro,CHI,US,North America,FALSE,Chicago,United States of America
TRUE,MPX-6000 Series,Standard Metro,"1.5kV Main Line (CAT|AAR), U.S. Commuter Diesel","The MPI MPXpress is a line of diesel locomotives that first entered service in 2003. This specific trainset carries passengers with Metra's 6000 series cars, which are bilevel coaches built by Nippon Sharyo.",31.3,0.61,1.00,150,2,8,1,25.91,3.05,240,4131250,50000,75000000,15000000,TRUE,13,FALSE,500,50,#ED1C24,8.44|3.75|1.88|0.30|0.90,300,1200,"MPI,Nippon Sharyo",Metro,CHI,US,North America,FALSE,Chicago,United States of America
TRUE,FLIRT Akku,Standard Commuter,"1.5kV Main Line (CAT|AAR), U.S. Commuter Diesel","The FLIRT Akku is a commuter rail battery-capable EMU family built by Stadler for railways across the world in operation since 2023. It operates on battery power for up to 150 km when electric is unavailable. It is generally in 2 car sets, but it can use trailer cars to hit any number of cars desired.",44.7,0.90,1.00,120,2,8,1,25.91,3.05,240,5240625,50000,75000000,15000000,TRUE,15,FALSE,600,60,#0B3F75,8.44|3.75|1.88|0.30|0.90,240,960,Stadler,Commuter,CHI,US,North America,FALSE,Chicago,United States of America
TRUE,2024 Stock (LDN),Standard Metro,London Deep Tube,"2024 Stock is a subway EMU built by Siemens as part of their Inspiro family. It will enter service around mid-2026 on the Picadilly Line, and potentially later the Central, Waterloo & City, and Bakerloo lines.",27.5,1.40,1.40,116,9,9,9,12.63,2.65,150,2418457,75000,112500000,20250000,FALSE,13,FALSE,500,50,#1B3F94,4.50|2.00|1.00|0.30|0.80,1044,1044,Siemens,Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,1972 Stock (LDN),Standard Metro,London Deep Tube,"1972 Stock is a subway EMU built by Metro-Cammell for London's Deep Tube that entered service on the Bakerloo Line. They were refurbrished twice: in 1991 by Tickford, and in 2016 by Acton Works. Cost is an estimate.",20.0,1.30,1.15,122,7,7,7,16.22,2.64,150,1500000,75000,112500000,20250000,FALSE,13,TRUE,700,70,#B05F0F,4.50|2.00|1.00|0.30|0.80,854,854,Metro-Cammell,Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,1973 Stock (LDN),Standard Metro,London Deep Tube,1973 Stock is a subway EMU built by Metro-Cammell for London's Deep Tube that entered service on the Piccadilly Line. They were refurbrished in 1996 by Bombardier Prorail. Cost is an estimate.,20.0,1.30,1.15,114,3,6,3,17.80,2.63,150,1500000,75000,112500000,20250000,FALSE,13,TRUE,700,70,#122B63,4.50|2.00|1.00|0.30|0.80,342,684,Metro-Cammell,Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,1992 Stock (LDN),Standard Metro,London Deep Tube,"1992 Stock is a subway EMU built by BREL and ABB for London's Deep Tube that entered service on the Central Line, and is now also used on the Waterloo & City Line. Waterloo & City Line sets were refurbrished in 2006, while Central were in 2019. Cost is an estimate.",27.8,1.30,1.15,129,4,8,4,16.25,2.62,150,2000000,75000,112500000,20250000,FALSE,13,FALSE,500,50,#E02525,4.50|2.00|1.00|0.30|0.80,516,1032,"BREL, ABB",Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,1996 Stock (LDN),Standard Metro,London Deep Tube,1996 Stock is a subway EMU built by Alstom for London's Deep Tube that entered service on the Jubilee Line.,27.8,1.30,1.15,125,7,7,7,17.77,2.63,150,2351741,75000,112500000,20250000,FALSE,13,FALSE,500,50,#7B848B,4.50|2.00|1.00|0.30|0.80,875,875,Alstom,Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,2009 Stock (LDN),Standard Metro,London Deep Tube,2009 Stock is a subway EMU built by Bombardier for London's Deep Tube that entered service on the Victoria Line.,22.2,1.30,1.15,141,4,8,4,16.66,2.68,150,2720765,75000,112500000,20250000,FALSE,13,FALSE,500,50,#0C9FDC,4.50|2.00|1.00|0.30|0.80,564,1128,Bombardier,Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,S Stock (LDN),Standard Metro,London Subsurface Tube,"S Stock is a subway EMU built by Bombardier for London's Subsurface Tube, that comes in either 7 or 8 car sets. S8s operate on the Metropolitan line, while S7s are on the Circle, District, and Hammersmith & City Lines.",27.8,1.30,1.15,170,7,8,1,16.74,2.92,140,1458314,75000,112500000,20250000,FALSE,13,FALSE,500,50,#FECE08,4.50|2.00|1.00|0.30|0.80,1190,1360,Bombardier,Metro,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 378,Standard Commuter,"25-GF Main Line (CAT|MW), 600V Main Line (TRA|MW)",The Capitalstar (BR 378) is a commuter rail EMU built by Bombardier for the London Overground that entered service in 2009. It either is third rail only or dual mode with overhead catenary. It is part of the Electrostar Family.,33.6,0.65,1.00,236,5,5,5,20.00,2.8,120,2100575,50000,75000000,15000000,TRUE,15,FALSE,600,60,#F9A51B,6.75|3.00|1.50|0.30|0.80,1180,1180,Bombardier,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,BR Class 710,Standard Commuter,"600V Main Line (TRA|MW), 25-GF Main Line (CAT|MW)",The Alstom Aventra is a family of EMUs in service in the UK since 2015. This model is the EMU labeled Class 710 as used on the London Overground,33.6,0.90,1.00,170,4,5,1,21.00,2.77,120,1970237,62500,93750000,18750000,TRUE,15,FALSE,600,60,#566366,4.50|2.00|1.00|0.30|0.80,680,850,Alstom,Commuter,LDN,UK,Europe,FALSE,London,United Kingdom
TRUE,FE-10 (MXC),Standard Metro,750V Metro (CAT|MW),"The FE-10 is a steel-wheeled model of EMU built by CAF used on the Mexico City Metro, first used in 2012.",25.0,1.20,1.20,210,7,7,7,20.14,2.80,150,5649119,50000,75000000,15000000,FALSE,13,FALSE,500,50,#B0A32A,6.75|3.00|1.50|0.30|0.80,1470,1470,CAF,Metro,MXC,MX,Central America,FALSE,Mexico City,Mexico
TRUE,NM-16 (MXC),Rubber Metro,MXC Rubber Metro,The NM-16 is a rubber-tyred model of EMU built by CAF used on the Mexico City Metro,19.4,1.43,1.43,190,9,9,9,16.77,2.50,175,2161730,75000,112500000,20250000,FALSE,13,FALSE,600,60,#F04E98,4.50|2.00|1.00|0.30|0.80,1710,1710,CAF,Metro,MXC,MX,Central America,FALSE,Mexico City,Mexico
TRUE,Cuautitlán-Buenavista,Standard Commuter,25-GF Main Line (CAT|AAR),The Cuautitlán-Buenavista is a commuter rail EMU built by CAF used on Mexico City's Tren Suburbano that entered service in 2008. ,19.4,1.00,1.00,284,3,8,1,25.50,3.01,220,3300000,50000,75000000,15000000,TRUE,15,FALSE,600,60,#BE1C00,8.44|3.75|1.88|0.30|0.90,852,2272,CAF,Commuter,MXC,MX,Central America,FALSE,Mexico City,Mexico
TRUE,TE-90,Standard LRT,750V LRT (CAT|MS),"The TE-90 is an articulated high-floor light-rail vehicle built by Bombardier that has been in service in Mexico City since 1990. It is also knwon as the TE-96, 08, and 12",22.2,1.00,1.00,150,2,2,2,14.78,2.65,35,4500000,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#0055B8,6.75|3.00|1.50|0.30|0.80,300,300,Bombardier,LRT,MXC,MX,Central America,FALSE,Mexico City,Mexico
TRUE,Toronto Rocket,Standard Metro,Toronto Subway,The Toronto Rocket is an EMU built by Bombardier for the Toronto Subway that entered service in 2021.,20.8,0.90,1.35,180,4,6,2,23.00,3.13,145,1962008,68200,102300000,20625000,FALSE,13,FALSE,500,50,#DA251D,5.63|2.50|1.25|0.30|0.90,720,1080,Bombardier,Metro,TOR,CA,North America,FALSE,Toronto,Canada
TRUE,NST (TOR),Standard Metro,Toronto Subway,The Alstom Metropolis is a series of metro EMUs in service across the world since 1993. The NST is a heavy metro variant built for the Toronto Subway that was orded in January 2026. Many numbers are guesstimates since the train doesn't really exist fully yet.,25.0,1.10,1.35,217,6,6,6,21.00,3.15,145,4022677,68200,102300000,20625000,FALSE,13,FALSE,500,50,#C9251E,5.63|2.50|1.25|0.30|0.90,1300,1300,Alstom,Metro,TOR,CA,North America,FALSE,Toronto,Canada
TRUE,T-1 (TOR),Standard Metro,Toronto Subway,The T-1 is an EMU built by Bombardier for the Toronto Subway that entered service in 1995.,20.8,0.90,1.30,167,4,6,2,23.00,3.14,145,2370106,68200,102300000,20625000,FALSE,13,FALSE,500,50,#16A753,5.63|2.50|1.25|0.30|0.90,668,1002,Bombardier,Metro,TOR,CA,North America,FALSE,Toronto,Canada
TRUE,Flexity Outlook (TOR),Standard LRT,Toronto Streetcar,The Flexity Outlook is an articulated low-floor light-rail vehicle built by Bombardier for the Toronto Streetcar that has been in service since 2014. Toronto got a custom model due to their unique gauge.,19.4,1.00,1.26,50,5,5,5,5.60,2.54,35,864207,55000,82500000,16500000,TRUE,6.7,FALSE,200,20,#FFFFFF,6.75|3.00|1.50|0.30|0.80,250,250,Bombardier,LRT,TOR,CA,North America,FALSE,Toronto,Canada
TRUE,Flexity Freedom-3,Standard LRT,750V LRT (CAT|MS),"The Flexity Freedom is a family of articulated low-floor light-rail vehicles built by Bombardier/Alstom that have been in service in Canada since 2019. This is the 3 segment version which has never been ordered, so the cost is just a theory.",22.2,1.34,1.10,45,6,12,3,6.67,2.65,100,600000,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#F87005,6.75|3.00|1.50|0.30|0.80,270,540,Bombardier,LRT,Generic,Generic,Generic,FALSE,Generic,Generic
TRUE,Flexity Freedom-5,Standard LRT,750V LRT (CAT|MS),The Flexity Freedom is a family of articulated low-floor light-rail vehicles built by Bombardier/Alstom that have been in service in Canada since 2019. This is the 5 segment version.,22.2,1.34,1.10,50,5,20,5,6.16,2.65,130,621564,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#8A999A,6.75|3.00|1.50|0.30|0.80,250,1000,Bombardier,LRT,"TOR, YKF","CA, CA","North America, North America",FALSE,"Toronto, Waterloo (CA)","Canada, Canada"
TRUE,Flexity Freedom-7,Standard LRT,750V LRT (CAT|MS),The Flexity Freedom is a family of articulated low-floor light-rail vehicles built by Bombardier/Alstom that have been in service in Canada since 2019. This is the 7 segment version used in Edmonton.,22.2,1.34,1.10,39,7,14,7,5.71,2.65,130,789064,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#0591DC,6.75|3.00|1.50|0.30|0.80,273,546,Bombardier,LRT,EDM,CA,North America,FALSE,Edmonton,Canada
TRUE,Citadis Spirit-4,Standard LRT,"750V LRT (CAT|MS), 1.5kV LRT (CAT|MS)",The Citadis Spirit is a family of articulated low-floor light-rail vehicles built by Alstom that have been in service in Canada since 2019. This is the 4-segment version.,29.2,1.00,1.20,70,4,8,4,10.52,2.65,100,1589574,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#ED1B2D,6.75|3.00|1.50|0.30|0.80,280,560,Alstom,LRT,"TOR, OTT, QBC","CA, CA, CA","North America, North America, North America",FALSE,"Toronto, Ottawa, Quebec City","Canada, Canada, Canada"
TRUE,Citadis Spirit-3,Standard LRT,"750V LRT (CAT|MS), 1.5kV LRT (CAT|MS)","The Citadis Spirit is a family of articulated low-floor light-rail vehicles built by Alstom that have been in service in Canada since 2019. This is the 3-segment version which has never been ordered, so the cost is just a theory..",29.2,1.00,1.20,77,3,6,3,10.67,2.65,100,1589574,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#FF1E35,6.75|3.00|1.50|0.30|0.80,231,462,Alstom,LRT,Generic,Generic,Generic,FALSE,Generic,Generic
TRUE,Citadis Spirit-5,Standard LRT,"750V LRT (CAT|MS), 1.5kV LRT (CAT|MS)","The Citadis Spirit is a family of articulated low-floor light-rail vehicles built by Alstom that have been in service in Canada since 2019. This is the 5-segment version which has never been ordered, so the cost is just a theory..",29.2,1.00,1.20,68,5,10,5,9.57,2.65,100,1589574,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#8E111F,6.75|3.00|1.50|0.30|0.80,340,680,Alstom,LRT,Generic,Generic,Generic,FALSE,Generic,Generic
TRUE,Azur (MTL),Rubber Metro,Montreal Metro,The MPM-10 (Azur) is a rubber-tire vehicle built by Bombardier and Alstom for the Montreal Metro that entered service in 2016.,20.1,1.21,1.23,173,9,9,9,16.93,2.51,160,1379485,75000,112500000,20250000,FALSE,13,FALSE,600,60,#0085CA,4.50|2.00|1.00|0.30|0.80,1557,1557,Bombardier,Metro,MTL,CA,North America,FALSE,Montreal,Canada
TRUE,Saint-Laurent (MTL),Automated Metro,1.5kV Auto Metro (CAT|LSS),The Alstom Metropolis is a series of metro EMUs in service across the world since 1993. The Saint-Laurent is an autonomous light metro variant built for the Réseau express métropolitain in Montreal that entered service in 2023. Cost is a estimate based on the overall contract Alstom signed which includes signalling and stuff,27.8,1.10,1.30,150,2,4,2,19.05,2.94,90,2540985,50000,78750000,15750000,FALSE,13,FALSE,400,40,#82C341,6.75|3.00|1.50|0.30|0.80,300,600,Alstom,Metro,MTL,CA,North America,FALSE,Montreal,Canada
TRUE,Desiro Classic (SD),Diesel Commuter,"Diesel Main Line (MW), U.S. Commuter Diesel",The Siemens Desiro Classic is a family of metro DMUs and EMUs in service across the world since 1999. This model is the DMU used by San Diego's Sprinter service.,25.0,1.10,1.10,109,2,4,2,20.85,2.83,90,4300000,37500,56250000,11250000,TRUE,15,FALSE,800,80,#0055A4,6.75|3.00|1.50|0.30|0.80,218,436,Siemens,Commuter,SD,US,North America,FALSE,San Diego,United States of America
TRUE,CQ400 (ATL),Standard Metro,NYC LIRR Electric,The CQ 400 is a subway EMU built by Stadler for the Atlanta metro which will enter service in 2026.,31.3,1.12,1.12,187,2,8,2,23.55,3.20,200,2543307,62500,93750000,18750000,TRUE,13,FALSE,500,50,#2CC1E1,5.63|2.50|1.25|0.30|0.90,374,1496,Stadler,Metro,ATL,US,North America,FALSE,Atlanta,United States of America
TRUE,CQ312 (ATL),Standard Metro,NYC LIRR Electric,The CQ 312 is a subway EMU built by Stadler for the Atlanta metro which entered service in 2001. Cost is an estimate.,31.3,1.34,1.34,131,2,8,2,22.86,3.20,200,2000000,62500,93750000,18750000,TRUE,13,FALSE,500,50,#00362A,5.63|2.50|1.25|0.30|0.90,262,1048,Stadler,Metro,ATL,US,North America,FALSE,Atlanta,United States of America
TRUE,BR Class 777,Standard Metro,"600V Main Line (TRA|MW), 25-GF Main Line (CAT|MW)",The METRO (BR 777) is a commuter rail EMU built by Stadler as part of their METRO family for MerseyRail that entered service in 2023.,33.3,1.10,1.10,123,4,8,4,16.25,2.82,140,3016561,62500,93750000,18750000,TRUE,13,FALSE,500,50,#FFF200,4.50|2.00|1.00|0.30|0.80,492,984,Stadler,Metro,LIV,UK,Europe,FALSE,Liverpool,United Kingdom
TRUE,Mark V (VAN),Automated Metro,600V Auto Metro (TRS|MS),The Innovia Metro is an automated rapid transit system family built by Alstom/Bombardier that have been in service across North America since 1985. This specific model is based on the Mark V used in Vancouver since 2025. Acceleration and decceleration are guesstimates.,22.2,1.00,1.00,134,5,5,5,16.96,2.65,100,863574,63000,99225000,19845000,FALSE,13,FALSE,400,40,#305AA7,4.50|2.00|1.00|0.30|0.80,670,670,Alstom,Metro,VAN,CA,North America,FALSE,Vancouver,Canada
